eng,count,total_diff,none,lex,phon,unsure
scaly,6,1,0,1,0,0
scared,6,6,0,6,0,0
scariest,1,1,0,1,0,0
scratched,3,3,0,1,0,0
see,15,0,15,0,0,0
set,2,0,2,0,0,0
shadow,3,3,0,0,3,0
she,4,0,4,0,0,0
short,3,2,0,2,0,0
shoulder,2,2,0,0,2,0
silly,1,1,0,1,0,0
slid,5,5,0,5,0,0
slunk,2,2,0,2,0,0
small,3,3,0,1,0,0
snake,37,0,37,0,0,0
snored,6,0,6,0,0,0
snow,24,24,0,0,21,3
snowy,2,2,0,1,0,0
so,6,6,0,0,6,0
some,4,0,4,0,0,0
soon,2,0,2,0,0,0
sped,3,3,0,3,0,0
stream,4,4,0,4,0,0
stroll,8,8,0,8,0,0
strong,6,6,0,0,6,0
stump,2,0,2,0,0,0
such,12,9,3,0,9,0
tail,18,3,0,3,0,0
taste,4,0,4,0,0,0
tea,7,0,7,0,0,0
teeth,6,0,6,0,0,0
tell,3,0,3,0,0,0
terrible,29,29,0,29,0,0
terribly,14,14,0,14,0,0
that,1,0,1,0,0,0
the,276,76,0,1,0,1
then,1,1,0,1,0,0
there's,13,3,0,3,0,0
these,8,5,0,3,0,0
they,13,0,13,0,0,0
thing,12,6,0,3,0,0
this,25,7,0,7,0,0
thought,1,1,0,0,1,0
through,16,8,0,4,0,4
till,8,0,8,0,0,0
time,2,1,0,1,0,0
tiptoed,3,3,0,2,0,1
to,26,26,0,1,0,0
toes,6,4,2,0,4,0
told,6,6,0,6,0,0
tongue,8,0,8,0,0,0
took,18,12,0,7,0,0
toowhit,1,0,1,0,0,0
toowhoo,2,0,2,0,0,0
tougher,2,2,0,2,0,0
track,5,0,5,0,0,0
trail,3,0,3,0,0,0
tree,5,0,5,0,0,0
trees,4,0,4,0,0,0
treetop,7,7,0,0,7,0
trick,1,0,1,0,0,0
tummy's,1,1,0,1,0,0
tusks,3,0,3,0,0,0
twig,1,0,1,0,0,0
two,3,3,0,0,3,0
unclenched,2,2,0,2,0,0
under,2,2,0,1,0,0
underground,6,4,2,0,4,0
us,2,0,2,0,0,0
wait,3,2,1,0,2,0
walk,3,2,1,0,2,0
walked,14,11,0,3,0,0
wart,8,6,0,6,0,0
was,17,16,1,2,14,0
wasn't,2,2,0,0,2,0
well,2,2,0,0,2,0
went,9,7,0,7,0,0
were,3,1,2,0,1,0
weren't,2,2,0,0,2,0
what,7,7,0,2,0,0
what's,12,12,0,3,0,0
when,6,3,0,2,0,0
where,32,28,0,7,0,0
whiskers,17,17,0,5,0,0
who,7,7,0,6,0,1
whose,7,7,0,7,0,0
why,18,18,0,18,0,0
will,1,0,1,0,0,0
wind,6,5,1,0,5,0
wire,3,2,1,0,2,0
wiry,1,1,0,0,1,0
with,19,19,0,1,0,0
wonderfully,2,2,0,2,0,0
wood,33,27,6,0,27,0
yelled,2,2,0,2,0,0
you,62,62,0,6,0,2
you'll,10,9,1,0,9,0
you're,9,6,3,0,6,0
